TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2022,3,23,13,37,10XX E BROADWAY AVE,Mount Pleasant,493947.3834,5456638.568
Break and Enter Commercial,2022,6,29,3,5,10XX E BROADWAY AVE,Mount Pleasant,494074.1104,5456636.8066
Break and Enter Commercial,2022,1,11,3,44,12XX E 12TH AVE,Mount Pleasant,494348.9159,5456325.7816
Break and Enter Commercial,2022,4,10,17,55,14XX QUEBEC ST,Mount Pleasant,492586.2532,5457734.6766
Break and Enter Commercial,2022,9,4,17,55,16XX ONTARIO ST,Mount Pleasant,492386.2184,5457585.0253
Break and Enter Commercial,2022,8,10,15,14,16XX PULLMAN PORTER ST,Mount Pleasant,492478.4343,5457602.1552
Break and Enter Commercial,2022,5,8,21,42,16XX QUEBEC ST,Mount Pleasant,492543.2664,5457594.3932
Break and Enter Commercial,2022,7,22,10,16,16XX QUEBEC ST,Mount Pleasant,492588.7135,5457658.0048
Break and Enter Commercial,2022,2,24,5,46,17XX COLUMBIA ST,Mount Pleasant,492045.6385,5457490.5823
Break and Enter Commercial,2022,1,21,5,30,17XX COOK ST,Mount Pleasant,491985.4188,5457397.3966
Break and Enter Commercial,2022,6,3,21,41,17XX MAIN ST,Mount Pleasant,492684.1313,5457387.5631
Break and Enter Commercial,2022,6,17,17,0,17XX MAIN ST,Mount Pleasant,492684.1313,5457387.5631
Break and Enter Commercial,2022,2,23,13,0,17XX MANITOBA ST,Mount Pleasant,492238.4309,5457413.6786
Break and Enter Commercial,2022,3,8,8,0,17XX MANITOBA ST,Mount Pleasant,492238.4309,5457413.6786
Break and Enter Commercial,2022,4,29,21,9,17XX MANITOBA ST,Mount Pleasant,492238.4309,5457413.6786
Break and Enter Commercial,2022,5,3,17,0,17XX MANITOBA ST,Mount Pleasant,492238.4309,5457413.6786
Break and Enter Commercial,2022,5,20,13,8,17XX MANITOBA ST,Mount Pleasant,492238.4309,5457413.6786
Break and Enter Commercial,2022,6,13,5,45,17XX MANITOBA ST,Mount Pleasant,492247.3322,5457445.3997
Break and Enter Commercial,2022,1,2,6,47,17XX ONTARIO ST,Mount Pleasant,492391.6645,5457401.8466
Break and Enter Commercial,2022,1,27,1,49,17XX ONTARIO ST,Mount Pleasant,492391.7761,5457408.0355
Break and Enter Commercial,2022,1,14,10,6,17XX QUEBEC ST,Mount Pleasant,492523.5785,5457415.4789
Break and Enter Commercial,2022,4,22,20,18,17XX QUEBEC ST,Mount Pleasant,492523.5785,5457415.4789
Break and Enter Commercial,2022,7,8,1,15,18XX ONTARIO ST,Mount Pleasant,492390.5242,5457357.1543
Break and Enter Commercial,2022,3,30,11,16,19XX MAIN ST,Mount Pleasant,492675.0328,5457225.1096
Break and Enter Commercial,2022,2,1,5,0,1X E 5TH AVE,Mount Pleasant,492407.6073,5457090.7237
Break and Enter Commercial,2022,5,5,17,0,1X E 5TH AVE,Mount Pleasant,492407.6073,5457090.7237
Break and Enter Commercial,2022,10,24,1,0,1X W BROADWAY AVE,Mount Pleasant,492340.0396,5456696.0797
Break and Enter Commercial,2022,1,4,4,42,1X W BROADWAY AVE,Mount Pleasant,492343.0137,5456705.1434
Break and Enter Commercial,2022,9,3,16,6,1XX ATHLETES WAY,Mount Pleasant,492086.2662,5457657.1064
Break and Enter Commercial,2022,6,17,6,48,1XX E 11TH AVE,Mount Pleasant,492594.4364,5456484.875
Break and Enter Commercial,2022,1,4,22,0,1XX E 2ND AVE,Mount Pleasant,492641.5675,5457373.8013
Break and Enter Commercial,2022,3,25,12,27,1XX E 2ND AVE,Mount Pleasant,492641.5675,5457373.8013
Break and Enter Commercial,2022,4,26,21,50,1XX E 2ND AVE,Mount Pleasant,492641.5675,5457373.8013
Break and Enter Commercial,2022,8,11,4,0,1XX E 2ND AVE,Mount Pleasant,492641.5675,5457373.8013
Break and Enter Commercial,2022,9,4,5,0,1XX E 2ND AVE,Mount Pleasant,492641.5675,5457373.8013
Break and Enter Commercial,2022,3,27,11,48,1XX E 3RD AVE,Mount Pleasant,492541.153,5457285.0652
Break and Enter Commercial,2022,9,30,4,0,1XX E 3RD AVE,Mount Pleasant,492584.8559,5457284.6155
Break and Enter Commercial,2022,6,26,7,37,1XX E 3RD AVE,Mount Pleasant,492590.2246,5457275.4158
Break and Enter Commercial,2022,8,9,5,0,1XX E 3RD AVE,Mount Pleasant,492646.9926,5457283.9766
Break and Enter Commercial,2022,4,24,10,44,1XX E 6TH AVE,Mount Pleasant,492641.961,5456971.2791
Break and Enter Commercial,2022,8,20,11,58,1XX E 6TH AVE,Mount Pleasant,492641.961,5456971.2791
Break and Enter Commercial,2022,8,20,23,30,1XX E 6TH AVE,Mount Pleasant,492641.961,5456971.2791
Break and Enter Commercial,2022,5,15,20,0,1XX E 8TH AVE,Mount Pleasant,492551.3084,5456782.8553
Break and Enter Commercial,2022,6,5,3,47,1XX E 8TH AVE,Mount Pleasant,492551.6304,5456782.8458
Break and Enter Commercial,2022,2,2,0,0,1XX E BROADWAY AVE,Mount Pleasant,492521.2571,5456698.3698
Break and Enter Commercial,2022,6,15,17,0,1XX E BROADWAY AVE,Mount Pleasant,492523.5502,5456689.1222
Break and Enter Commercial,2022,9,4,9,3,1XX E BROADWAY AVE,Mount Pleasant,492547.998,5456697.2546
Break and Enter Commercial,2022,8,30,5,51,1XX E BROADWAY AVE,Mount Pleasant,492574.9098,5456696.1321
Break and Enter Commercial,2022,9,12,3,8,1XX E BROADWAY AVE,Mount Pleasant,492574.9098,5456696.1321
Break and Enter Commercial,2022,8,5,2,0,1XX SWITCHMEN ST,Mount Pleasant,492580.0037,5457601.6111
Break and Enter Commercial,2022,8,9,5,0,1XX SWITCHMEN ST,Mount Pleasant,492580.0037,5457601.6111
Break and Enter Commercial,2022,7,6,22,17,1XX SWITCHMEN ST,Mount Pleasant,492655.4138,5457580.2552
Break and Enter Commercial,2022,2,4,1,41,1XX W 2ND AVE,Mount Pleasant,492084.0056,5457404.4503
Break and Enter Commercial,2022,1,25,4,38,1XX W 2ND AVE,Mount Pleasant,492186.0698,5457402.1218
Break and Enter Commercial,2022,7,7,18,15,1XX W 3RD AVE,Mount Pleasant,492195.8875,5457289.2546
Break and Enter Commercial,2022,10,12,20,8,1XX W 3RD AVE,Mount Pleasant,492195.8875,5457289.2546
Break and Enter Commercial,2022,10,16,11,59,1XX W 3RD AVE,Mount Pleasant,492195.8875,5457289.2546
Break and Enter Commercial,2022,9,8,22,30,1XX W 4TH AVE,Mount Pleasant,492136.5682,5457186.5082
Break and Enter Commercial,2022,4,12,5,20,1XX W 6TH AVE,Mount Pleasant,492227.5948,5456992.6017
Break and Enter Commercial,2022,10,13,14,42,1XX W 8TH AVE,Mount Pleasant,492182.5683,5456784.2497
Break and Enter Commercial,2022,2,17,3,30,1XX WALTER HARDWICK AVE,Mount Pleasant,492192.1174,5457576.8386
Break and Enter Commercial,2022,2,27,16,30,20XX MANITOBA ST,Mount Pleasant,492243.8299,5457179.486
Break and Enter Commercial,2022,4,8,11,21,23XX CLARK DR,Mount Pleasant,494356.8164,5456798.6715
Break and Enter Commercial,2022,4,7,5,56,23XX MAIN ST,Mount Pleasant,492646.8671,5456840.1396
Break and Enter Commercial,2022,2,10,8,14,24XX COLUMBIA ST,Mount Pleasant,492030.2603,5456778.662
Break and Enter Commercial,2022,2,16,16,39,24XX MAIN ST,Mount Pleasant,492644.7214,5456749.5725
Break and Enter Commercial,2022,8,30,6,20,24XX MAIN ST,Mount Pleasant,492665.74,5456751.0154
Break and Enter Commercial,2022,3,27,6,18,24XX MAIN ST,Mount Pleasant,492665.9783,5456761.4717
