TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2018,6,16,18,0,10XX ALBERNI ST,West End,491102.2439,5459092.4351
Break and Enter Commercial,2018,12,12,0,0,10XX BEACH AVE,West End,490228.7807,5458208.3497
Break and Enter Commercial,2018,4,9,6,0,10XX BEACH AVE,Central Business District,490249.2307,5458166.8328
Break and Enter Commercial,2018,10,2,18,31,10XX BEACH AVE,Central Business District,490258.4148,5458154.8532
Break and Enter Commercial,2018,2,17,15,0,10XX BEACH AVE,Central Business District,490269.91,5458141.1263
Break and Enter Commercial,2018,5,16,17,0,10XX BOUNDARY RD,Hastings-Sunrise,498275.62,5458124.9411
Break and Enter Commercial,2018,3,2,3,23,10XX BROUGHTON ST,West End,490262.7487,5459186.8583
Break and Enter Commercial,2018,3,17,11,57,10XX BROUGHTON ST,West End,490262.7487,5459186.8583
Break and Enter Commercial,2018,6,3,2,0,10XX BROUGHTON ST,West End,490272.5864,5459183.8121
Break and Enter Commercial,2018,1,20,23,0,10XX BURNABY ST,West End,490423.586,5458504.0063
Break and Enter Commercial,2018,2,28,18,0,10XX BURNABY ST,West End,490423.586,5458504.0063
Break and Enter Commercial,2018,12,15,14,53,10XX BURNABY ST,West End,490440.3175,5458486.9612
Break and Enter Commercial,2018,2,8,8,38,10XX BURRARD ST,West End,490729.6302,5458622.1395
Break and Enter Commercial,2018,2,23,19,0,10XX BURRARD ST,West End,490729.6302,5458622.1395
Break and Enter Commercial,2018,3,1,7,8,10XX BURRARD ST,West End,490729.6302,5458622.1395
Break and Enter Commercial,2018,12,2,17,30,10XX BURRARD ST,Central Business District,490758.7224,5458638.6357
Break and Enter Commercial,2018,12,4,17,0,10XX BURRARD ST,Central Business District,490758.7224,5458638.6357
Break and Enter Commercial,2018,8,30,12,40,10XX CANADA PL,Central Business District,491519.3199,5459518.8272
Break and Enter Commercial,2018,11,13,4,45,10XX COMMERCIAL DR,Grandview-Woodland,494937.5085,5458088.0531
Break and Enter Commercial,2018,12,21,5,3,10XX COMMERCIAL DR,Grandview-Woodland,494937.5085,5458088.0531
Break and Enter Commercial,2018,1,5,7,36,10XX COMMERCIAL DR,Grandview-Woodland,494946.6912,5458091.7883
Break and Enter Commercial,2018,4,16,15,19,10XX COMMERCIAL DR,Grandview-Woodland,494946.7697,5458099.4462
Break and Enter Commercial,2018,12,4,2,2,10XX DAVIE ST,West End,490467.1155,5458629.8738
Break and Enter Commercial,2018,9,28,5,4,10XX DAVIE ST,West End,490488.9907,5458595.4614
Break and Enter Commercial,2018,9,20,4,0,10XX DAVIE ST,West End,490528.6043,5458556.3995
Break and Enter Commercial,2018,12,30,13,37,10XX DAVIE ST,West End,490546.3428,5458551.75
Break and Enter Commercial,2018,12,4,2,6,10XX DAVIE ST,West End,490551.2192,5458546.9414
Break and Enter Commercial,2018,2,27,21,30,10XX DENMAN ST,West End,489823.403,5459531.6748
Break and Enter Commercial,2018,2,28,13,7,10XX DENMAN ST,West End,489823.403,5459531.6748
Break and Enter Commercial,2018,9,9,8,26,10XX DENMAN ST,West End,489880.7749,5459589.1956
Break and Enter Commercial,2018,1,10,7,38,10XX DUNSMUIR ST,Central Business District,491238.7326,5459258.6928
Break and Enter Commercial,2018,6,25,6,34,10XX DUNSMUIR ST,Central Business District,491238.7326,5459258.6928
Break and Enter Commercial,2018,11,6,4,30,10XX DUNSMUIR ST,Central Business District,491238.7326,5459258.6928
Break and Enter Commercial,2018,1,25,12,41,10XX E BROADWAY AVE,Mount Pleasant,493991.2692,5456637.9583
Break and Enter Commercial,2018,3,14,9,25,10XX E BROADWAY AVE,Mount Pleasant,494074.1104,5456636.8066
Break and Enter Commercial,2018,5,1,18,1,10XX E CORDOVA ST,Strathcona,494025.6382,5458795.8085
Break and Enter Commercial,2018,12,13,4,2,10XX GILFORD ST,West End,489790.0823,5459725.2284
Break and Enter Commercial,2018,6,6,6,30,10XX GRANVILLE ST,Central Business District,490989.548,5458450.7113
