TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2022,3,13,19,29,10XX W 15TH AVE,Fairview,490661.6896,5456122.0101
Break and Enter Commercial,2022,5,9,6,21,10XX W 15TH AVE,Fairview,490661.6896,5456122.0101
Break and Enter Commercial,2022,10,28,3,3,10XX W BROADWAY AVE,Fairview,490662.8214,5456753.588
Break and Enter Commercial,2022,5,11,5,15,10XX W BROADWAY AVE,Fairview,490680.1407,5456743.9956
Break and Enter Commercial,2022,1,11,0,18,10XX W BROADWAY AVE,Fairview,490755.7444,5456742.0604
Break and Enter Commercial,2022,2,15,5,50,12XX W 12TH AVE,Fairview,490274.4171,5456452.1616
Break and Enter Commercial,2022,8,4,7,41,12XX W 8TH AVE,Fairview,490427.9314,5456861.6175
Break and Enter Commercial,2022,7,26,23,39,12XX W BROADWAY AVE,Fairview,490299.3014,5456763.1533
Break and Enter Commercial,2022,4,20,14,41,12XX W BROADWAY AVE,Fairview,490414.2173,5456760.3095
Break and Enter Commercial,2022,4,18,2,0,12XX W BROADWAY AVE,Fairview,490414.2173,5456760.3095
Break and Enter Commercial,2022,3,1,16,45,13XX W 11TH AVE,Fairview,490119.7683,5456547.169
Break and Enter Commercial,2022,9,1,12,3,13XX W BROADWAY AVE,Fairview,490110.6578,5456768.32
Break and Enter Commercial,2022,9,3,15,10,13XX W BROADWAY AVE,Fairview,490110.6578,5456768.32
Break and Enter Commercial,2022,7,29,13,0,13XX W BROADWAY AVE,Fairview,490176.7729,5456766.4786
Break and Enter Commercial,2022,8,15,2,45,13XX W BROADWAY AVE,Fairview,490213.1361,5456765.4658
Break and Enter Commercial,2022,2,14,10,0,14XX LAMEYS MILL RD,Fairview,490007.6948,5457360.3881
Break and Enter Commercial,2022,2,16,23,8,14XX LAMEYS MILL RD,Fairview,490007.6948,5457360.3881
Break and Enter Commercial,2022,6,6,7,14,14XX LAMEYS MILL RD,Fairview,490113.9073,5457232.0174
Break and Enter Commercial,2022,6,4,13,0,14XX PENNYFARTHING DR,Fairview,489676.0907,5457754.0673
Break and Enter Commercial,2022,6,4,12,53,14XX PENNYFARTHING DR,Fairview,489714.4974,5457650.9104
Break and Enter Commercial,2022,2,13,13,48,14XX PENNYFARTHING DR,Fairview,489734.6938,5457789.7878
Break and Enter Commercial,2022,5,2,16,51,14XX W 15TH AVE,Fairview,489947.5109,5456150.4771
Break and Enter Commercial,2022,2,14,21,0,14XX W 6TH AVE,Fairview,490011.9596,5457049.4044
Break and Enter Commercial,2022,10,6,4,8,14XX W BROADWAY AVE,Fairview,489973.7058,5456762.018
Break and Enter Commercial,2022,8,21,11,0,14XX W BROADWAY AVE,Fairview,490008.3054,5456761.3235
Break and Enter Commercial,2022,8,16,5,38,15XX W 2ND AVE,Fairview,489824.6675,5457440.8883
Break and Enter Commercial,2022,1,7,5,16,15XX W 2ND AVE,Fairview,489827.9865,5457441.996
Break and Enter Commercial,2022,10,17,3,54,15XX W 2ND AVE,Fairview,489827.9865,5457441.996
Break and Enter Commercial,2022,8,19,17,0,15XX W 3RD AVE,Fairview,489820.6669,5457343.3077
Break and Enter Commercial,2022,9,11,19,47,15XX W 7TH AVE,Fairview,489869.3338,5456959.403
Break and Enter Commercial,2022,6,17,16,30,15XX W 8TH AVE,Fairview,489857.5964,5456875.4953
Break and Enter Commercial,2022,5,27,2,30,15XX W BROADWAY AVE,Fairview,489844.0303,5456773.5554
Break and Enter Commercial,2022,9,1,11,58,16XX DURANLEAU ST,Fairview,490105.4127,5457698.2852
Break and Enter Commercial,2022,5,24,4,0,16XX DURANLEAU ST,Fairview,490106.4169,5457737.8729
Break and Enter Commercial,2022,7,7,6,30,16XX JOHNSTON ST,Fairview,490141.1406,5457731.7374
Break and Enter Commercial,2022,9,16,12,58,16XX W 10TH AVE,Fairview,489677.705,5456672.7488
