TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2022,1,22,20,15,10XX PARKER ST,Strathcona,494080.0022,5458126.7591
Break and Enter Commercial,2022,5,30,4,42,10XX RAYMUR AVE,Strathcona,494011.8703,5458691.2305
Break and Enter Commercial,2022,8,8,23,48,10XX RAYMUR AVE,Strathcona,494011.8703,5458691.2305
Break and Enter Commercial,2022,1,13,3,33,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2022,3,24,21,54,10XX VERNON DR,Strathcona,494274.836,5458072.496
Break and Enter Commercial,2022,7,13,4,2,11XX E GEORGIA ST,Strathcona,494131.3232,5458384.7868
Break and Enter Commercial,2022,7,13,2,15,11XX E HASTINGS ST,Strathcona,494148.911,5458699.4552
Break and Enter Commercial,2022,3,8,7,12,11XX E PENDER ST,Strathcona,494166.864,5458585.1249
Break and Enter Commercial,2022,9,11,11,0,11XX STATION ST,Strathcona,492835.0141,5457933.8959
Break and Enter Commercial,2022,3,26,14,0,11XX VERNON DR,Strathcona,494273.6322,5457999.8731
Break and Enter Commercial,2022,4,27,7,10,11XX VERNON DR,Strathcona,494273.6322,5457999.8731
Break and Enter Commercial,2022,1,30,6,57,11XX WILLIAM ST,Strathcona,494196.0232,5457932.3133
Break and Enter Commercial,2022,3,5,9,0,12XX E 2ND AVE,Strathcona,494287.6423,5457341.6658
Break and Enter Commercial,2022,4,17,15,30,12XX E 2ND AVE,Strathcona,494287.6423,5457341.6658
Break and Enter Commercial,2022,4,17,17,38,12XX E 2ND AVE,Strathcona,494360.9946,5457340.254
Break and Enter Commercial,2022,5,31,3,45,12XX E HASTINGS ST,Strathcona,494373.5721,5458740.0945
Break and Enter Commercial,2022,3,27,3,0,12XX E PENDER ST,Strathcona,494315.5427,5458623.3293
Break and Enter Commercial,2022,2,12,13,0,12XX E PENDER ST,Strathcona,494352.5672,5458631.2352
